Filename,Year,Age,AgeClass,Country Code,Country Name,World Region,Balanced Region,Size,Mean Color,Variance
2019_6-9_0267_IDN_R_C.jpg,2019,6-9,2,IDN,Indonesia,Southeast Asia and Micronesia,Southeast Asia and Micronesia,"(915, 1267)",[47.10327826 74.40631413 26.81754844],3993.5557757907027
2019_6-9_0262_IDN_R_C.jpg,2019,6-9,2,IDN,Indonesia,Southeast Asia and Micronesia,Southeast Asia and Micronesia,"(909, 1253)",[108.77034479  95.84918133  65.63753087],5531.278851922989
2019_6-9_0248_IDN_R_C.jpg,2019,6-9,2,IDN,Indonesia,Southeast Asia and Micronesia,Southeast Asia and Micronesia,"(914, 1271)",[55.04569276 77.49490572 71.26079673],4413.4380671959925
2019_6-9_0252_IDN_R_C.jpg,2019,6-9,2,IDN,Indonesia,Southeast Asia and Micronesia,Southeast Asia and Micronesia,"(1267, 905)",[61.58306174 46.6703345  30.50397555],3267.667285518607
2019_6-9_0256_IDN_R_C.jpg,2019,6-9,2,IDN,Indonesia,Southeast Asia and Micronesia,Southeast Asia and Micronesia,"(909, 1259)",[122.45253842 111.96168751  53.8829261 ],5941.004860883089
2019_6-9_0255_IDN_R_C.jpg,2019,6-9,2,IDN,Indonesia,Southeast Asia and Micronesia,Southeast Asia and Micronesia,"(904, 1252)",[76.97332056 89.24799436 63.54425044],4531.90957273525
2019_6-9_0242_IDN_R_C.jpg,2019,6-9,2,IDN,Indonesia,Southeast Asia and Micronesia,Southeast Asia and Micronesia,"(907, 1258)",[ 75.3855063  116.89242388  76.66840402],5539.811783722443
2019_6-9_0261_IDN_R_C.jpg,2019,6-9,2,IDN,Indonesia,Southeast Asia and Micronesia,Southeast Asia and Micronesia,"(910, 1256)",[67.65462133 69.37287219 54.72289931],4551.104390386328
2019_6-9_0251_IDN_R_C.jpg,2019,6-9,2,IDN,Indonesia,Southeast Asia and Micronesia,Southeast Asia and Micronesia,"(897, 1252)",[117.31612297  90.80356869  77.71747501],5578.846011359493
2019_6-9_0258_IDN_R_C.jpg,2019,6-9,2,IDN,Indonesia,Southeast Asia and Micronesia,Southeast Asia and Micronesia,"(911, 1264)",[ 88.03708541 105.39263693  76.81019432],5408.3200415787005
2019_6-9_0232_BRA_R_C.jpg,2019,6-9,2,BRA,Brazil,Latin America and the Caribbean,Latin America and the Caribbean,"(721, 903)",[88.14546211 93.80385616 76.6801523 ],5654.234490402143
2019_6-9_0240_IDN_R_C.jpg,2019,6-9,2,IDN,Indonesia,Southeast Asia and Micronesia,Southeast Asia and Micronesia,"(898, 1248)",[ 91.92634005 100.17408879  79.11975419],4235.500631313098
2019_6-9_0257_IDN_R_C.jpg,2019,6-9,2,IDN,Indonesia,Southeast Asia and Micronesia,Southeast Asia and Micronesia,"(917, 1267)",[131.29541529 115.94763302  84.39373442],5615.71392749946
2019_6-9_0250_IDN_R_C.jpg,2019,6-9,2,IDN,Indonesia,Southeast Asia and Micronesia,Southeast Asia and Micronesia,"(913, 1273)",[94.7676152  92.24354076 36.06772215],5232.514199316319
2019_6-9_0241_IDN_R_C.jpg,2019,6-9,2,IDN,Indonesia,Southeast Asia and Micronesia,Southeast Asia and Micronesia,"(904, 1244)",[121.99835582 116.0490496   91.03616118],4707.817145865647
2019_6-9_0247_IDN_R_C.jpg,2019,6-9,2,IDN,Indonesia,Southeast Asia and Micronesia,Southeast Asia and Micronesia,"(903, 1246)",[ 76.11286971 117.79007464  91.6449991 ],5246.4601922693855
2019_6-9_0234_BRA_R_C.jpg,2019,6-9,2,BRA,Brazil,Latin America and the Caribbean,Latin America and the Caribbean,"(608, 879)",[67.17783928 70.75345975 61.96236939],3703.4605276661728
2019_6-9_0239_IDN_R_C.jpg,2019,6-9,2,IDN,Indonesia,Southeast Asia and Micronesia,Southeast Asia and Micronesia,"(909, 1254)",[ 85.28847622 129.05304478  87.85946402],6850.669899966016
2019_6-9_0280_KOR_R_C.jpg,2019,6-9,2,KOR,"Korea, Republic of",Eastern Asia,Eastern Asia,"(1098, 790)",[150.13259436 136.16970211 142.27014019],6715.868583921659
2019_6-9_0246_IDN_R_C.jpg,2019,6-9,2,IDN,Indonesia,Southeast Asia and Micronesia,Southeast Asia and Micronesia,"(906, 1251)",[124.49403038  74.53492835  37.72256455],5772.865174894178
2019_6-9_0224_BRA_R_C.jpg,2019,6-9,2,BRA,Brazil,Latin America and the Caribbean,Latin America and the Caribbean,"(897, 621)",[91.58154126 96.80134354 85.13223   ],4737.759571524768
2019_6-9_0167_POL_R_C.jpg,2019,6-9,2,POL,Poland,Eastern Europe,Eastern Europe,"(917, 1274)",[163.93851358 156.6506003  121.6654703 ],5881.252816070727
2019_6-9_0227_BRA_R_C.jpg,2019,6-9,2,BRA,Brazil,Latin America and the Caribbean,Latin America and the Caribbean,"(914, 622)",[92.87773787 78.17267655 52.80202389],5728.321221132045
2019_6-9_0173_MNE_R_C.jpg,2019,6-9,2,MNE,Montenegro,Western and Southern Europe,Western and Southern Europe,"(883, 769)",[130.39366476 119.52735311  82.36281032],6961.955546465036
2019_6-9_0231_BRA_R_C.jpg,2019,6-9,2,BRA,Brazil,Latin America and the Caribbean,Latin America and the Caribbean,"(603, 888)",[78.9147431  87.96591554 58.01922818],5158.4927477712245
